ALYSNAM,firm_name,Targets,Bias(pp),MAE(pp),Dir.Acc(%)
AARON              E,RBC Capital Markets,242,38.7,51.5,73.6
ABBOTT             J,Boutique/Other,88,58.1,93.0,35.2
ABERMAN            M,Boutique/Other,76,34.4,42.8,56.6
ABERNETHY          B,Boutique/Other,145,1.6,31.0,70.3
ABOUHOSSEIN        K,JP Morgan,77,30.6,42.2,61.0
ABRAHAMS           B,Jefferies,66,21.2,42.3,57.6
ABRAHAMS           B,RBC Capital Markets,399,17.7,31.0,56.4
ABRAMOWITZ         P,Jefferies,116,24.3,41.2,52.6
ABRAMS             T,Morgan Stanley,138,95.5,102.9,67.4
ABRAMSKY           M,RBC Capital Markets,59,26.9,46.4,71.2
ACKERMAN           K,Boutique/Other,65,-24.2,42.5,84.6
ACREE              C,Boutique/Other,271,21.9,50.8,70.1
ACREE              C,Stifel Nicolaus,81,83.6,86.3,53.1
ADER               J,Boutique/Other,60,85.9,97.1,55.0
ADKINS             J,Raymond James,166,49.8,59.6,45.2
ADKINS/GERRY,Raymond James,91,65.3,67.7,67.0
ADKINS/ROLLYSON,Raymond James,152,74.7,77.4,48.0
ADLER              M,Boutique/Other,136,16.5,29.9,75.0
ADLER              M,Lehman Brothers,50,58.4,60.8,54.0
ADORNATO           P,Boutique/Other,115,68.6,69.4,74.8
AFTAHI             D,Boutique/Other,144,-56.0,81.5,45.8
AFZAL              T,Boutique/Other,106,29.9,39.9,50.0
AGARWAL            A,Boutique/Other,79,19.4,32.3,38.0
AGGARWAL           S,Boutique/Other,68,57.7,77.2,69.1
AGHA               A,Boutique/Other,1556,41.1,43.4,79.1
AGNEW              C,Boutique/Other,93,5.4,25.1,71.0
AGUIAR             M,Goldman Sachs,116,185.7,185.7,25.9
AHLERSMEYER        J,Boutique/Other,100,-11.6,33.4,82.0
AHMAD              F,Boutique/Other,65,-1.9,38.4,75.4
AHMAD              T,Merrill Lynch / BofA,175,25.6,37.7,54.3
AHMED              H,Boutique/Other,252,40.4,68.9,63.1
AHUJA              V,Boutique/Other,51,24.3,131.1,72.5
AJMERA             S,Boutique/Other,75,-3.5,30.4,80.0
AKERS              M,Boutique/Other,105,1.9,18.1,76.2
AKERS              S,Boutique/Other,267,29.0,30.3,60.3
AKYOL              S,Stifel Nicolaus,296,94.9,101.5,68.6
ALBINO             G,Boutique/Other,105,52.0,67.2,48.6
ALBRECHT           T,Boutique/Other,188,34.5,43.7,77.7
ALDWORTH           L,Goldman Sachs,70,31.5,39.0,65.7
ALEXANDER          B,Raymond James,197,63.6,78.7,58.9
ALEXANDER          L,Jefferies,957,57.0,73.1,69.9
ALEXANDER          N,Keefe Bruyette & Woods,182,30.5,45.9,74.7
ALEXOPOULOS        S,JP Morgan,558,37.5,50.2,62.9
ALLAN              B,Boutique/Other,80,28.3,47.7,57.5
ALLEN              B,Boutique/Other,50,6.4,42.4,46.0
ALLEN              C,Boutique/Other,205,15.3,38.8,62.4
ALLEN              C,Evercore ISI,104,27.2,34.1,84.6
ALLEN              T,Morgan Stanley,651,2.3,37.3,58.4
ALLIGER            J,Boutique/Other,96,42.1,44.6,83.3
ALLIGER            J,Goldman Sachs,481,10.9,34.6,60.1
ALLMAN             J,JP Morgan,286,71.2,78.8,55.2
ALONSO             T,Macquarie Securities,111,38.8,43.1,82.9
ALTMAN             D,Boutique/Other,70,15.5,51.3,82.9
ALTOBELLO          J,Boutique/Other,71,17.2,62.2,93.0
ALTOBELLO          J,Raymond James,93,12.0,41.4,71.0
ALWY               F,Boutique/Other,205,10.8,28.2,69.8
AMATURO            J,Boutique/Other,195,33.5,56.3,55.9
AMIN               B,Jefferies,98,4.2,31.1,56.1
AMIR               D,Lazard Capital Markets,52,19.6,49.0,57.7
AMLADI             N,Boutique/Other,77,-8.7,25.4,81.8
AMORIM             B,Goldman Sachs,133,100.7,117.0,71.4
AMSELLEM           D,Piper Sandler,133,11.9,34.5,51.9
ANDERS             D,Merrill Lynch / BofA,64,141.8,141.8,67.2
ANDERSON           E,Evercore ISI,285,4.5,34.1,58.6
ANDERSON           J,Boutique/Other,303,25.6,66.7,42.9
ANDERSON           J,JP Morgan,96,60.4,60.7,65.6
ANDERSON           R,Boutique/Other,696,46.0,52.3,69.7
ANDERSON           R,D.A. Davidson,65,41.0,43.7,66.2
ANDERSON           S,Boutique/Other,678,15.9,48.8,62.8
ANDERSON           T,Bernstein Research,214,62.5,64.2,75.2
ANDERSON           T,Boutique/Other,78,153.7,153.7,50.0
ANDERSON           T,Wolfe Research,147,11.7,26.3,72.1
ANDERSON           V,Stifel Nicolaus,243,22.6,51.7,55.1
ANDREEVA           A,Boutique/Other,107,12.4,36.0,57.0
ANDRESS            B,Boutique/Other,86,14.8,42.5,67.4
ANDREWS            V,Morgan Stanley,417,30.2,48.3,68.1
ANGELE             R,JP Morgan,202,131.5,141.0,58.4
ANGELICO           B,Boutique/Other,77,56.1,74.4,37.7
ANMUTH             D,Boutique/Other,60,21.9,77.2,75.0
ANMUTH             D,JP Morgan,381,3.8,47.4,71.1
ANTALFFY           D,Boutique/Other,297,5.0,36.7,79.1
ANTHONY            V,Boutique/Other,174,4.1,43.1,77.6
APPELBAUM          L,Goldman Sachs,114,115.2,115.2,25.4
APPERT             P,Piper Sandler,161,5.3,27.0,85.1
ARCARO             D,Morgan Stanley,428,8.8,23.0,55.8
"ARCHAMBAULT, CFA   P",Goldman Sachs,58,90.9,90.9,44.8
ARFAEI             A,Boutique/Other,192,41.5,45.4,78.6
ARFSTROM           J,RBC Capital Markets,712,29.4,49.0,57.7
ARIAS              D,Stifel Nicolaus,103,-4.3,30.1,57.3
ARIF               A,Boutique/Other,55,84.6,156.8,81.8
ARIF               A,Stifel Nicolaus,55,53.6,61.1,54.5
ARITA              D,Boutique/Other,119,92.2,93.7,51.3
ARMENT             P,Boutique/Other,81,52.8,56.0,71.6
ARMSTRONG          J,Boutique/Other,166,29.0,45.9,62.7
ARMSTRONG          N,Boutique/Other,168,77.9,81.9,63.1
ARMSTRONG          W,Boutique/Other,64,40.2,46.5,59.4
"ARMSTRONG, CFA     J",Goldman Sachs,102,106.6,110.3,82.4
ARNOLD             C,Boutique/Other,207,111.0,112.1,67.1
ARNOLD             C,Morgan Stanley,58,27.2,41.0,58.6
ARNOLD             J,Boutique/Other,874,51.9,52.5,76.3
ARNOLD             J,Merrill Lynch / BofA,99,147.0,147.0,60.6
ARNOLD             J,RBC Capital Markets,119,65.9,80.8,56.3
AROUNIAN           Y,Boutique/Other,207,-2.3,73.9,44.9
ARTHUR             D,Boutique/Other,65,31.9,75.1,61.5
ARTHUR             D,Evercore ISI,57,33.3,48.5,82.5
ARTHUR             S,RBC Capital Markets,70,51.6,60.5,62.9
ARYA               V,Merrill Lynch / BofA,920,-5.0,41.6,74.2
ASCHOFF            J,Boutique/Other,67,-23.2,46.5,73.1
ASLAM              F,Boutique/Other,127,46.1,48.7,71.7
ASSUMPCAO          M,Boutique/Other,50,139.0,139.0,40.0
ASTRACHAN          M,Stifel Nicolaus,471,7.3,25.0,72.4
ATKIN              J,RBC Capital Markets,488,50.1,61.8,77.0
ATKINS             J,Boutique/Other,483,26.6,43.4,65.4
ATKINSON           S,Boutique/Other,227,72.3,98.9,68.3
ATORINO            E,Boutique/Other,62,19.7,40.6,72.6
AUDI               C,Boutique/Other,105,209.8,212.1,53.3
AUERBACH           G,Boutique/Other,90,91.0,91.0,74.4
AUGUSTINE          M,Boutique/Other,56,21.7,36.5,67.9
AUSTER             M,Boutique/Other,65,5.8,42.4,66.2
AUTY               S,JP Morgan,353,-8.8,34.3,73.4
AYDIN              J,Boutique/Other,93,62.5,75.2,61.3
BABER              G,Piper Sandler,165,34.4,39.8,80.6
BACHMAN            K,Boutique/Other,1117,33.8,59.5,69.5
BACHMANN           J,Boutique/Other,183,48.2,59.0,46.4
BACKUS             L,Boutique/Other,52,28.3,38.0,78.8
BADISHKANIAN       G,Wolfe Research,376,9.7,32.3,60.6
BADRI              S,Boutique/Other,206,14.1,34.3,52.4
BAGGIO             A,JP Morgan,93,27.9,49.6,52.7
BAILEY             D,Goldman Sachs,88,75.0,113.1,69.3
BAILEY             J,Boutique/Other,188,59.7,64.9,44.1
BAILEY             J,Jefferies,87,46.5,54.7,51.7
BAIN               D,Boutique/Other,174,38.2,64.6,55.7
BAJIKAR            S,Jefferies,65,18.9,39.6,64.6
BAKER              J,JP Morgan,357,26.8,48.3,61.9
BAKER              M,Boutique/Other,727,15.9,46.2,67.8
BAKER              M,D.A. Davidson,225,17.2,42.6,67.6
BAKER              M,Raymond James,191,28.1,44.3,74.9
BAKER              P,Boutique/Other,60,19.3,37.2,56.7
BALARAMAN          S,Boutique/Other,50,74.2,91.3,54.0
BALICKA            J,Keefe Bruyette & Woods,66,31.4,41.4,72.7
BALIOTTI           J,Boutique/Other,201,65.6,72.7,70.1
BALKIND            J,Boutique/Other,57,96.5,96.5,57.9
BALL               B,Boutique/Other,54,87.6,89.6,74.1
BALSKY             H,Merrill Lynch / BofA,149,-2.5,30.9,68.5
BALTER             G,Boutique/Other,337,40.0,59.4,69.1
BANIA              K,Boutique/Other,265,1.8,29.4,65.7
BANK               D,RBC Capital Markets,119,32.6,43.2,76.5
BANNISTER          B,Stifel Nicolaus,69,71.9,77.9,65.2
BANSAL             M,Boutique/Other,95,3.9,26.2,75.8
BARCELO            D,Boutique/Other,64,152.8,152.8,76.6
BARDEN             D,Boutique/Other,52,178.8,183.4,76.9
BARDEN             D,Merrill Lynch / BofA,193,51.9,59.8,75.1
BARETTO            D,Canaccord Genuity,125,12.6,53.2,39.2
BARGER             S,Boutique/Other,217,27.1,39.9,61.3
"BARI, CFA          T",Goldman Sachs,132,11.5,31.3,59.1
BARISH             A,Boutique/Other,157,78.0,88.0,64.3
BARISH             A,Jefferies,382,0.6,37.6,63.6
BARKER             K,Boutique/Other,102,59.4,60.5,51.0
BARKER             K,Piper Sandler,432,35.7,50.1,56.0
BARNES             G,Boutique/Other,284,45.1,55.4,49.3
BARNES             J,Boutique/Other,277,55.9,62.2,74.0
BARNES             J,RBC Capital Markets,303,24.5,36.1,72.6
BARNICLE           B,Boutique/Other,160,25.2,47.4,67.5
BARNIDGE           J,Piper Sandler,217,2.7,26.3,76.5
BARNIDGE           J,Sandler O'Neill,216,37.4,41.0,61.1
BARRY              R,Susquehanna Financial,283,25.3,34.4,65.0
BARRY              S,Boutique/Other,141,45.4,72.3,66.0
BARTLETT           J,Boutique/Other,330,13.5,37.2,69.7
BARUAH             A,Boutique/Other,275,45.8,61.7,65.5
BASHAM             S,Boutique/Other,557,-0.2,55.5,68.9
BATORY             T,Boutique/Other,83,13.2,32.6,65.1
BAUDENDISTEL       M,Stifel Nicolaus,102,21.0,27.7,58.8
BAUGH              J,Stifel Nicolaus,216,-6.7,49.0,68.5
BAULT              T,Bernstein Research,327,87.3,88.4,62.4
BAUMGARTEN         A,Boutique/Other,58,-17.5,35.4,81.0
BAUMGARTEN         A,Macquarie Securities,81,25.2,37.3,65.4
BAUMGARTEN         S,Boutique/Other,116,58.4,67.8,70.7
BAUMGARTNER        J,Boutique/Other,154,25.8,34.3,53.2
BAXTER             S,Boutique/Other,124,6.9,30.8,53.2
BAXTER             S,Wolfe Research,53,-12.1,19.5,88.7
BAYKO              L,Boutique/Other,97,9.3,46.3,64.9
BEAGO              B,Boutique/Other,62,18.4,45.1,79.0
BEALE              A,Boutique/Other,103,57.4,70.8,60.2
BEAN               C,Boutique/Other,189,38.1,52.7,69.8
BEARD              D,Boutique/Other,122,45.0,51.6,43.4
BEAUMONT           E,Boutique/Other,388,27.7,29.9,66.0
BECK               J,Boutique/Other,205,-7.0,35.2,76.6
BECKEL             D,Bernstein Research,121,25.0,34.9,47.9
BECKER             D,Boutique/Other,146,52.5,64.2,46.6
BECKER             D,Merrill Lynch / BofA,233,58.4,62.3,51.5
BECKER             H,Boutique/Other,141,32.7,53.3,74.5
BEDELL             B,Boutique/Other,2989,22.0,36.8,68.7
BEDELL             B,Merrill Lynch / BofA,73,73.6,75.4,54.8
BEDER              E,Boutique/Other,114,21.6,47.8,61.4
BEDFORD            J,Raymond James,384,17.0,36.7,69.8
BEDNAR             J,Piper Sandler,81,27.9,32.0,43.2
BEGLEITER          D,Boutique/Other,1079,54.3,66.8,71.0
BEHERA             S,Boutique/Other,97,-7.2,37.7,71.1
BELIOV             N,Merrill Lynch / BofA,53,-63.0,70.6,84.9
BELL               R,Boutique/Other,55,16.4,32.3,50.9
"BELLINI, CFA       H",Goldman Sachs,452,-25.7,36.5,67.9
BENACCI            N,Boutique/Other,50,111.6,111.6,68.0
BENEDICT           P,Boutique/Other,90,65.8,70.9,62.2
BENGUIGUI          T,Boutique/Other,234,-3.9,23.5,72.2
BENJAMIN           A,Goldman Sachs,118,-8.8,22.6,68.6
BENJAMIN           A,Jefferies,83,6.3,59.4,56.6
BENJAMIN           S,Boutique/Other,68,27.8,92.6,76.5
BENNETT            O,Jefferies,87,46.5,50.4,63.2
BERENBAUM          D,Boutique/Other,104,25.2,54.2,56.7
BERG               E,Boutique/Other,96,76.3,83.2,74.0
BERG               E,Lehman Brothers,124,83.0,83.3,63.7
BERG               E,RBC Capital Markets,233,61.2,62.5,79.0
BERGER             C,Boutique/Other,195,35.8,57.9,60.0
BERGSTROM          D,RBC Capital Markets,94,-17.8,31.7,64.9
BERISTAIN          J,Boutique/Other,347,30.9,72.6,48.1
BERLIN             L,Boutique/Other,112,29.3,39.4,72.3
BERNARDEZ          O,Boutique/Other,52,4.5,24.3,71.2
BERNSTEIN          D,Boutique/Other,55,26.9,36.5,47.3
BERNSTEIN          J,Boutique/Other,1011,9.0,37.2,67.3
BERNSTEIN          J,Lehman Brothers,119,116.1,117.1,49.6
BERSEY             S,Boutique/Other,174,-5.2,39.8,61.5
BETTS              M,JP Morgan,84,59.3,61.0,44.0
BETTS              M,Jefferies,70,13.3,32.8,68.6
BEUCHAW            S,Morgan Stanley,216,-12.4,32.3,60.6
BEUCHAW            S,Wolfe Research,163,-15.8,33.9,62.0
BEYNON             C,Macquarie Securities,641,21.1,48.4,58.5
BHAGAVATH          V,Boutique/Other,107,-8.0,35.7,58.9
BHALLA             N,Boutique/Other,63,27.2,34.7,77.8
BHATIA             A,Boutique/Other,99,21.0,47.2,69.7
BHATIA             M,Merrill Lynch / BofA,162,3.7,34.7,63.6
BHATTACHARYA       R,Merrill Lynch / BofA,179,11.7,32.6,58.7
BHATTI             I,Boutique/Other,55,-5.8,40.8,52.7
BHULLAR            J,JP Morgan,431,37.8,44.1,72.9
BIEGELSEN          L,Boutique/Other,395,19.0,29.7,67.8
BIENVENU           B,Boutique/Other,246,13.9,32.8,65.4
BILKOSKI           A,Boutique/Other,112,0.0,99.5,52.7
BILLINGSLEY        K,Boutique/Other,64,29.9,32.0,79.7
BINDER             D,Boutique/Other,121,105.2,105.2,55.4
BINDER             D,Jefferies,413,33.9,45.1,73.1
BINETTI            M,Boutique/Other,313,12.1,43.0,58.8
BINGHAM            D,Goldman Sachs,81,-28.2,55.1,39.5
BINNER             R,Boutique/Other,334,49.5,57.7,68.3
BIRCHENOUGH        J,Boutique/Other,168,4.1,43.9,67.9
BISBEE             G,Boutique/Other,130,37.1,42.9,86.2
BISBEE             G,Lehman Brothers,55,105.0,105.0,21.8
BISBEE             G,Merrill Lynch / BofA,173,-0.9,27.0,74.0
BISBEE             G,RBC Capital Markets,171,13.1,27.0,78.9
BISHOP             D,Boutique/Other,73,28.8,33.0,60.3
BITTNER            B,Boutique/Other,264,25.2,38.3,71.2
BIVENS             T,JP Morgan,71,65.0,69.8,70.4
BLACK              B,Boutique/Other,71,-4.5,48.8,66.2
BLACK              J,Boutique/Other,129,44.9,63.7,65.1
BLACK              J,Lehman Brothers,114,39.2,46.8,55.3
BLAIR              B,Boutique/Other,91,8.2,27.1,65.9
BLAIR              J,Boutique/Other,75,38.0,54.9,73.3
BLAIR              M,Boutique/Other,516,17.5,46.7,59.3
BLOCK              J,Stifel Nicolaus,151,1.6,32.4,57.6
BLOSSMAN           B,Boutique/Other,74,97.6,102.9,50.0
"BLOSTEIN, CFA      A",Goldman Sachs,1945,15.6,35.1,67.1
BLOUNT             H,Lehman Brothers,127,83.2,109.4,65.4
BLUM               M,Boutique/Other,229,45.2,72.1,68.6
BODDY              T,Goldman Sachs,83,133.5,133.5,31.3
BOESCHEN           F,Raymond James,51,10.6,21.7,68.6
BOLAN              G,Boutique/Other,68,5.2,29.9,60.3
BOLLIN             B,Boutique/Other,264,-11.9,33.3,72.0
BOLTON             N,Needham & Company,282,4.7,41.1,70.2
BOLU               C,Boutique/Other,102,15.2,31.9,79.4
BONDADA            R,RBC Capital Markets,56,40.1,56.0,85.7
BONELLO            B,Boutique/Other,51,9.6,33.2,80.4
BOONE              A,Boutique/Other,65,12.6,61.2,64.6
BOORADY            C,Boutique/Other,73,2.5,24.7,87.7
BORG               A,Stifel Nicolaus,75,6.6,29.9,65.3
BORGES             G,Goldman Sachs,160,-12.7,34.3,66.9
BORIS              J,Boutique/Other,100,86.9,87.3,53.0
BORKHATARIA        B,RBC Capital Markets,76,42.1,50.7,69.7
BORODITSKY         S,Jefferies,85,-13.3,27.0,76.5
"BORSCH, CFA        M",Boutique/Other,203,-1.0,28.0,67.0
