year,Targets,Bias(pp),Dir.Acc(%),Actual Ret(%)
2001,9267,118.5,44.8,-4.4
2002,11574,100.7,58.2,11.4
2003,13007,65.5,82.6,30.9
2004,14389,66.2,74.9,20.5
2005,14775,63.4,73.7,19.0
2006,16539,63.4,72.2,17.5
2007,18245,89.4,32.5,-11.1
2008,23862,89.7,40.4,-0.4
2009,26193,28.5,81.9,42.7
2010,28152,49.5,72.6,19.3
2011,32170,59.3,62.6,9.1
2012,32824,35.6,81.5,26.1
2013,38114,31.3,81.1,22.0
2014,36228,42.5,62.7,7.7
2015,40180,46.9,50.0,0.7
2016,42945,16.4,77.9,25.8
2017,41911,17.1,66.7,17.2
2018,42865,31.6,55.6,5.2
2019,43202,25.7,52.0,7.2
2020,56112,-30.5,82.1,63.5
2021,46570,25.6,48.7,2.2
2022,48798,25.8,53.4,5.7
2023,46059,1.2,68.8,21.7
2024,10350,1.1,66.0,17.6
